market_name,addr,business_week,context,ValidDate,Lontitude,Latitude,case_code,last_edited_date,type,badge_code,business_hours,business_hours_end
春日店,桃園市桃園區春日路278號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","【金園排骨】傳承了西門町一甲子的美好古早味印證了台灣豐富、深刻、濃厚的在地人情味，陪伴許多人的成長，也紀錄了時代的變化，美好滋味猶如史詩般雋永絕對值得您細心品嘗回味。金園排骨 -【春日店】客服　：03-339-0363 ; 03-339-0347E-mail ：may@sacred.com.tw　　　　kingpork@sacred.com.tw",2023-11-07,121.314739,24.999573,2020110200031,"2021-01-15 02:10:49",餐飲,D000230,10:30,20:30
新傳企業社,新北市新莊區新泰路381巷9號,"星期一,星期二,星期三,星期四,星期五,星期六",肉圓生產製造批發,2023-11-13,121.443257,25.043717,2020110200032,"2021-01-15 02:10:49",工廠與製造,D000025,06:30,14:30
辰品食品有限公司,新北市鶯歌區尖山里八德路2巷18弄10號,"星期二,星期三,星期四,星期五,星期六",,2023-11-07,121.336479,24.947271,2020110200033,"2021-01-15 02:10:49",工廠與製造,D000002,09:00,18:00
石村肉品商行,桃園市龜山區大華里頂湖一街２３號,"星期二,星期三,星期四,星期五,星期六,星期日","本商行經營豬肉零售及批發,在地20年老字號,豬肉皆為台灣當日電宰溫體豬,童叟無欺,實實在在的經營,本商行販售或使之豬肉原料全數為國內飼養之豬隻,歡迎舊雨新知踴躍訂購",2023-11-07,121.362553,25.049163,2020110200034,"2021-01-15 02:10:49",工廠與製造,C000003,10:00,14:00
久翔食品股份有限公司(樹林區),新北市樹林區金寮里武林街16號之1(1~2樓)，16之2號1樓,"星期一,星期二,星期三,星期四,星期五",,2023-11-14,121.420671,25.00337,2020110200036,"2021-01-15 02:10:49",工廠與製造,D000029,08:00,17:00
元味香肉脯店,苗栗縣苗栗市北苗里15鄰中華路45號(北苗公有零售市場肉類第89號攤鋪),"星期二,星期三,星期四,星期五,星期六,星期日",,2023-11-18,120.823825,24.572243,2020110200038,"2021-01-15 02:10:49",販售,B000039,06:30,11:30
益順肉脯食品行,高雄市鳳山區南華路113號,"星期一,星期二,星期三,星期四,星期五,星期六","●本店成立於民國63年,位於高雄縣鳳山市光榮市場入口,民國88年遷移至現 在的店址,位在高雄縣鳳山市南華路113號,●成立至今已有40年的歷史,本店都因父母親對美食及品質的堅持,才會不斷的研發創新,以新口味:新口感.來符合現代人:及新新人類的新味覺：●請您有空上門試試我們的新口味!!!! 另有宅配到府的服務哦!***我們所使用的油品是自家製造生產非市售油品,請消費者放心使用.***",2023-11-21,120.338455,22.602025,2020110200039,"2021-01-15 02:10:49",販售,C000102,08:00,21:00
廣真香休閒美食,新北市三重區長壽街1-5號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","廣真香是專售台灣名產的老店，所有商品都是採用產地台灣的原料製成，品質無虞，其色、香、味絕佳，不但獨成一格、與眾不同，且遠近馳名，深受饕客們的喜愛與支持，是酌酒、下飯、休閒零嘴的自用良伴，亦為送禮、餽贈的最佳選擇。 ",2023-11-14,121.498436,25.067634,2020110200041,"2021-01-15 02:10:49",販售,D000031,08:00,23:00
好麵食堂,高雄市新興區復興一路23號1樓,"星期一,星期二,星期三,星期四,星期五,星期六","全店使用台灣豬,不定時要求屠宰場提供證明,本店專賣豬肉麵.",2023-11-19,120.30783,22.629048,2020110200043,"2021-01-15 02:10:49",餐飲,D000103,,
萬味軒食品工業股份有限公司,臺中市清水區北寧里中山路338號,"星期一,星期二,星期三,星期四,星期五","本公司製造肉鬆系列食品,行銷市場已逾40餘年,保證採用合法新鮮肉品,並選在肉品鮮度黃金時期內製造,歡迎惠顧品嚐",2023-11-11,120.578514,24.274892,2020110300002,"2021-01-15 02:10:49",工廠與製造,D000011,08:00,17:00
達盛食品有限公司,嘉義縣水上鄉民生村立業街３巷２之２、２之３、２之８、２之９號,"星期一,星期二,星期三,星期四,星期五",,2023-11-13,120.433836,23.450296,2020110300003,"2021-01-15 02:10:49",工廠與製造,D000024,08:00,17:00
楊哥楊嫂食品股份有限公司,臺南市南區彰南里新義南路54號,"星期一,星期二,星期三,星期四,星期五","台南市慶中街的「楊哥楊嫂肉粽店」，自１９７０年成立至今已４０多年，秉持著「傳統口味」、「養生概念」、 「真材實料」、「貨真價實」的原則來生產，嚴選食材有雲林的大顆花生、新社香菇、屏東蛋黃，台灣珍豬的豬肉等在地食材並針對不同族群，研發多元化口味粽子，除了招牌狀元粽、傳統精緻粽、小肉粽，另有五穀、紫米、綠豆等多種養生肉粽，也有素食的古早味月桃葉菜粽可供選擇，是台南唯一一家將肉粽店採複合式經營的傳統店家",2023-11-13,120.175432,22.968375,2020110300006,"2021-01-15 02:10:49",工廠與製造,B000021,08:00,17:00
萬味軒鐵鹿大街門市,臺中市中區台灣大道一段1號1F-(A25-6櫃位),"星期一,星期二,星期三,星期四,星期五,星期六,星期日","本公司製造肉鬆系列食品,行銷市場已逾40餘年,保證採用合法新鮮肉品,並選在肉品鮮度黃金時期內製造,歡迎惠顧品嚐",2023-11-11,120.685163,24.136927,2020110300008,"2021-01-15 02:10:49",販售,D000021,10:30,21:30
豬市大吉,新北市三重區重新路2段13巷17號1樓,"星期一,星期二,星期三,星期四,星期五,星期六",挑選三品(LYD)毛豬，瘦肉度佳、肉質軟嫩，處理過程全程低溫環境，讓肉品的鮮度保持最佳，提供最好品質的新鮮豬肉　雅勝公司為維持產品之品質及為環保與節能盡一份心力，近幾年陸續投入一億餘元更新及新增相關生產、冷凍庫及污水處理設備等，除原先取得之CAS、HACCP認證外，並於西元2016年獲得ISO22000之稽核認證，品質更有保障。,2023-11-14,121.498285,25.063071,2020110300009,"2021-01-15 02:10:49",工廠與製造,C000023,08:00,18:00
八條老宅麻辣鍋,臺北市中山區林森北路133巷3號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",,2023-11-13,121.525471,25.051082,2020110300011,"2021-01-15 02:10:49",餐飲,D000026,17:30,02:00
進吉食品有限公司,新竹縣竹北市聯興里中正西路1066巷2號,"星期一,星期二,星期三,星期四,星期五",進益摃丸創立1938年，是竹苗區歷史最悠久的製丸者。第三代葉聰敏憶兒時，清晨三點跟著父親做粗活，從切肉、打漿捏形、燒水熟煮，每步驟精準掌握時間，五點天亮，肉香四溢的熱丸子放入扁擔，挑著就往城隍廟口去，而廟口前的老饕也早已大排長龍，等候著這款最實在的廟口小吃。即便工慢賺少沒關係，能堅守品質，也將自家獨門手藝傳承下來這才踏實，這是本，不能忘！」這正是進益三代人不變的初心。,2023-11-13,120.977014,24.841263,2020110300012,"2021-01-15 02:10:49",工廠與製造,C000019,08:00,17:00
台丸有限公司,新竹市埔前里牛埔南路169之5號,"星期二,星期三,星期四,星期五,星期六,星期日","台丸深信製作摃丸是專業技術也是藝術， 一則採用現代化設備與嚴謹控管，取古法之長，傳承精髓；二則融現代製程，提升古味； 三則用老師傅的手感，全程控管，以半自動、半人工的絕妙搭配， 嚴選臺灣在地肥瘦合度的上選豬肉，捶捏成鮮甜Q彈的摃丸。「台丸」都有全心全意求好的認真，讓每一位顧客吃的安心吃的放心,延續愛臺灣精神堅持以臺灣豬肉製造出新竹道地口味純厚的摃丸!",2023-11-10,120.933604,24.795307,2020110300013,"2021-01-15 02:10:49",工廠與製造,B000003,06:50,13:01
進益摃丸文化會館,新竹市北區中興里北門街31號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",進益摃丸創立1938年，是竹苗區歷史最悠久的製丸者。第三代葉聰敏憶兒時，清晨三點跟著父親做粗活，從切肉、打漿捏形、燒水熟煮，每步驟精準掌握時間，五點天亮，肉香四溢的熱丸子放入扁擔，挑著就往城隍廟口去，而廟口前的老饕也早已大排長龍，等候著這款最實在的廟口小吃。即便工慢賺少沒關係，能堅守品質，也將自家獨門手藝傳承下來這才踏實，這是本，不能忘！」這正是進益三代人不變的初心。,2023-11-13,120.965934,24.805647,2020110300014,"2021-01-15 02:10:49",販售,C000020,09:00,21:00
楊哥楊嫂肉粽店,臺南市中西區郡王里慶中街41號1樓,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","台南市慶中街的「楊哥楊嫂肉粽店」，自１９７０年成立至今已４０多年，秉持著「傳統口味」、「養生概念」、 「真材實料」、「貨真價實」的原則來生產，嚴選食材有雲林的大顆花生、新社香菇、屏東蛋黃，台灣珍豬的豬肉等在地食材並針對不同族群，研發多元化口味粽子，除了招牌狀元粽、傳統精緻粽、小肉粽，另有五穀、紫米、綠豆等多種養生肉粽，也有素食的古早味月桃葉菜粽可供選擇，是台南唯一一家將肉粽店採複合式經營的傳統店家",2023-11-07,120.20544,22.984266,2020110300015,"2021-01-15 02:10:49",餐飲,C000004,07:00,19:30
豪佳味有限公司,高雄市大樹區竹寮路184號,"星期一,星期二,星期三,星期四,星期五",,2023-11-20,120.425043,22.66531,2020110300020,"2021-01-15 02:10:49",工廠與製造,C000093,8,17
郭長興肉鬆店,桃園市八德區四維路40號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",,2023-11-24,121.296701,24.960235,2020110300023,"2021-01-15 02:10:49",販售,C000106,06:00,13:00
長庚店,桃園市龜山區復興街5號b1餐飲區,"星期一,星期二,星期三,星期四,星期五,星期六","【金園排骨】傳承了西門町一甲子的美好古早味印證了台灣豐富、深刻、濃厚的在地人情味，陪伴許多人的成長，也紀錄了時代的變化，美好滋味猶如史詩般雋永絕對值得您細心品嘗回味。金園排骨 -【長庚店】客服　：03-318-3315E-mail ：may@sacred.com.tw　　　　地址　：桃園市龜山區復興街5號　　　 【林口長庚地下美食街】店休　：週日以及三大節日",2023-11-24,121.367627,25.06039,2020110300024,"2021-01-15 02:10:49",餐飲,D000177,10:30,20:00
金園排骨股份有限公司,桃園市桃園區大有路59號3樓,"星期一,星期二,星期三,星期四,星期五","【金園排骨】傳承了西門町一甲子的美好古早味印證了台灣豐富、深刻、濃厚的在地人情味，陪伴許多人的成長，也紀錄了時代的變化，美好滋味猶如史詩般雋永絕對值得您細心品嘗回味。金園排骨股份有限公司客服　：0800-552-999傳真　：03-334-8965;03-337-5338E-mail ：may@sacred.com.tw地址　：桃園市桃園區大有路59號３樓",2023-11-24,121.322247,25.004453,2020110300026,"2021-01-15 02:10:49",工廠與製造,A000240,8:30,18:00
宣鼎豬腳爌肉腿庫滷排專賣店,桃園市龜山區大華里015鄰文化三路608號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",中式快餐便當店,2023-11-24,121.369857,25.05083,2020110300027,"2021-01-15 02:10:49",餐飲,D000178,10:30,20:00
好口味肉品,臺南市麻豆區中正路80號(F24),"星期一,星期二,星期三,星期四,星期五,星期六,星期日",,2023-11-24,120.250071,23.185703,2020110300028,"2021-01-15 02:10:49",販售,B000186,,
合口味肉品,臺南市麻豆區博愛路30號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",,2023-11-24,120.250905,23.185085,2020110300029,"2021-01-15 02:10:49",販售,D000179,08:00,22:00
Hi-Q褐藻生活館,臺北市松山區八德路四段123-1號1樓,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","• Ｈi-Q褐藻生活館成立於2019年夏天，是中華海洋生技成立二十年來第一個實體生活館，也是台灣第一個以“褐藻”為主題的生活體驗館。
• Hi-Q褐藻生活館提供四種區域功能，包含褐藻知識、褐藻文創、褐藻產品及褐藻美食。
• 同時也將生活館打造成社會服務體驗平台，提供場地及設備供非營利團體會議、活動、演出使用，期望邀請更多人一起參與社會服務。",2023-11-24,121.561837,25.048719,2020110300030,"2021-01-15 02:10:49",工廠與製造,B000185,10:00,21:30
晨櫻廚房,臺北市萬華區武昌街2段114之4號(2樓),"星期二,星期三,星期四,星期五,星期六,星期日","本館肉品均來自優質產地與特選的海鮮品項，搭配蔬果熬煮的鮮甜高湯與不同口味精選湯底，迎合各位顧客的口味。***營業時間週二~週五：下午5:30～下午10:00 / 週六週日：上午11:30～下午10:00",2023-11-13,121.504746,25.045141,2020110300033,"2021-01-15 02:10:49",餐飲,B000020,11:30,22:00
山林水草忠孝店,臺北市大安區忠孝東路三段241號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",,2023-11-19,121.540892,25.041848,2020110300034,"2021-01-15 02:10:49",販售,B000049,10:30,21:00
聿豐實業股份有限公司,臺北市內湖區新湖二路257號5F之3,"星期一,星期二,星期三,星期四,星期五",,2023-11-19,121.5818,25.063777,2020110300036,"2021-01-15 02:10:49",販售,B000050,09:00,18:00
永軒食品有限公司,桃園市中壢區五光一街79號,"星期二,星期三,星期四,星期五,星期六,星期日",本公司專營生鮮豬肉批發買賣，為了提供最健康的產品，我們以最專業的要求，嚴選品質，堅持使用台灣國產豬肉，並秉持「正派經營」原則，產品不僅經過主管機關各項檢核，本公司亦導入HACCP管理流程，追求給予顧客最佳的產品質量。,2023-11-12,121.209186,24.959574,2020110300039,"2021-01-15 02:10:49",販售,C000012,04:00,13:00
嘉屏肉品,新竹縣竹北市仁愛街45號旁竹北公有市場2棟31號攤,"星期二,星期三,星期四,星期五,星期六,星期日",全店販售新竹肉品市場拍賣屠宰全數為國內飼養之豬隻台灣豬肉,2023-11-11,121.010769,24.837299,2020110400001,"2021-01-15 02:10:49",販售,D000027,06:30,14:00
皇家肉鬆,桃園市桃園區春日路232-2號,"星期二,星期三,星期四,星期五,星期六,星期日",,2023-11-18,121.315335,24.998028,2020110400002,"2021-01-15 02:10:49",販售,C000047,07:00,19:00
思牧企業股份有限公司內埔一廠,屏東縣內埔鄉豐田村延平路133號,"星期一,星期二,星期三,星期四,星期五",思牧企業秉持著提供新鮮品質優良的豬肉給客戶，在豬隻的選用上使用來自台灣各大市場每日所拍賣的豬隻，常年以來思牧企業與許多養豬戶也建立了彼此信任關係，每日購買的豬隻也必須經過防檢局獸醫的蓋章認證，在藥檢的把關上思牧企業所生產的豬肉保證安全無藥物殘留的問題，豬隻在經過屠宰後會再預冷室降溫一晚隔天再由分切人員進行分切，分切後豬肉產品會在很短的時間進入冷藏庫保管或急速凍庫內作急凍以達到最好的保鮮效果。,2023-11-18,120.547963,22.639993,2020110400003,"2021-01-15 02:10:49",工廠與製造,D000065,8:00,17:00
萬味軒-清水門市,臺中市清水區北寧里西寧路62-5號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","本公司製造肉鬆系列食品,行銷市場已逾40餘年,保證採用合法新鮮肉品,並選在肉品鮮度黃金時期內製造,歡迎惠顧品嚐",2023-11-11,0,0,2020110400004,"2021-01-19 01:32:27",販售,D000020,09:00,21:00
深坑肉舖,臺北市中正區羅斯福路四段92號2樓70號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",於水源市場2樓經營約25年，專門販賣臺灣本土黑豬肉及高樑黑豬肉香腸，客人大至上為附近住家、辦公人員會利用午休時間來買，以及遠地客人也會專成來買，樓下賣熟食也會和我們訂購黑豬肉，黑豬肉肉質甜而且沒有腥味，高樑香腸口味深受客人喜歡，蓬年過節老客戶都會訂購送人和自已吃，也會為客人特別訂製辣味香腸，客人都讚不絕口。,2023-11-21,121.53501,25.01376,2020110400005,"2021-01-15 02:10:49",販售,D000145,03:00,19:00
萬味軒-精誠門市,臺中市西區精誠路105-2號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","本公司製造肉鬆系列食品,行銷市場已逾40餘年,保證採用合法新鮮肉品,並選在肉品鮮度黃金時期內製造,歡迎惠顧品嚐",2023-11-11,120.655238,24.151205,2020110400006,"2021-01-15 02:10:49",販售,D000013,10:30,21:30
冠成食品工廠,彰化縣員林市溝皂里柳橋路二段326巷2號、6號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",本工廠專營學生營養午餐，以合菜或便當方式供餐。,2023-11-10,120.567341,23.945345,2020110400008,"2021-01-15 02:10:49",工廠與製造,C000016,07:00,18:00
萬味軒-清水中山門市,臺中市清水區中山路287號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","本公司製造肉鬆系列食品,行銷市場已逾40餘年,保證採用合法新鮮肉品,並選在肉品鮮度黃金時期內製造,歡迎惠顧品嚐",2023-11-10,120.575749,24.270375,2020110400009,"2021-01-15 02:10:49",販售,D000003,10:30,21:30
食家安飲食文化股份有限公司,臺北市內湖區新湖一路一號,"星期一,星期二,星期三,星期四,星期五",,2023-11-24,121.57387,25.058083,2020110400010,"2021-01-15 02:10:49",工廠與製造,D000158,08:30,17:30
思牧企業股份有限公司,屏東縣內埔鄉豐田村延平路133號,"星期一,星期二,星期三,星期四,星期五,星期六",思牧公司大分切人員進行6大部份分切，再依最終成品條件大分切部門與小分切部門相互對應，大分切部門負責提供小分切部門需要進行次分切與細分切之各種原料肉，本公司提供客戶多樣化的選擇不論冷藏或冷凍均給予客製化的生產，以滿足客戶的要求。,2023-11-18,120.547963,22.639993,2020110400011,"2021-01-15 02:10:49",工廠與製造,B000034,8:00,17:00
明峯摃丸店,臺北市大同區迪化街1段314號,"星期二,星期三,星期四,星期五,星期六,星期日","本店創立於1978年 創立至今秉持100%純豬後腿瘦肉 不添加 防腐劑 硼砂 魚漿 澱粉歷久不變得堅持 經得起您的考驗 ",2023-11-21,121.509168,25.061779,2020110400012,"2021-01-15 02:10:49",販售,D000144,09:30,18:30
大王食品,臺北市萬華區西藏路271號1樓,"星期二,星期三,星期四,星期五,星期六,星期日",創始於40年前萬華的老字號大王食品，生產古早味香腸、肉鬆、肉乾、肉紙、、臘肉的肉品加工專家,2023-11-18,121.493295,25.02843,2020110400013,"2021-01-15 02:10:49",販售,D000057,06:00,16:00
竹香園甕缸雞-仙草店,臺南市白河區仙草6之31號,"星期一,星期二,星期四,星期五,星期六,星期日","「竹香園甕缸雞」-仙草店，堅持本味，用美食暖味每個到來的顧客。
全台獨家首創手剝甕缸雞，招牌甕缸雞，以嚴選優質黑羽毛土雞，獨家料理配方，搭配筍乾、梅乾菜為基底烘烤出爐的雞肉以原汁原味方式呈現。皮酥肉嫩的垂涎滋味，再淋上滴滴香純的雞油拌飯，口味絕佳。
另有各式雞肉料理與山產野菜，滿足顧客味覺饗宴。在團隊努力下，希望把中華美食文化精神，透由地方食材匯出獨道風味，肅立美食品牌的專業口碑。
",2023-11-10,120.472245,23.346848,2020110500017,"2021-01-15 02:10:49",餐飲,B000004,10:00,21:00
立民物產企業有限公司龍潭廠,桃園市龍潭區烏林里工五路１９１巷６７弄７１號１、２樓,"星期一,星期二,星期三,星期四,星期五",,2023-11-21,121.208788,24.887367,2020110400014,"2021-01-15 02:10:49",工廠與製造,B000105,08:00,17:00
金味香肉脯部,雲林縣北港鎮公園路16號1樓,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",本店採用國產新鮮溫體豬肉製作，上一代無數經驗的心血傳承至二代，製造出吃的安全的產品。,2023-11-18,120.302982,23.573661,2020110400015,"2021-01-15 02:10:49",販售,B000035,07:30,21:00
